from1,from,to1,to,record_type,call_type,date
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,13/05/2012 01:28:09
fe9e59a29183833d38be43aadcb74e64,fe9e5,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,12/5/2012 17:07
be4b1c2f2bd7ddadf611e046c1746e4a,be4b1,1b676335139dbd92112cd10707fde874,1b676,1,1,8/5/2012 23:32
be4b1c2f2bd7ddadf611e046c1746e4a,be4b1,aea79374895860e92ba80673f682c191,aea79,1,1,9/5/2012 0:37
be4b1c2f2bd7ddadf611e046c1746e4a,be4b1,01baf7c71660654a9477756ec5cd2bef,01baf,1,1,9/5/2012 0:37
be4b1c2f2bd7ddadf611e046c1746e4a,be4b1,034d4210d738b590cb1a0d11e6be828b,034d4,1,1,9/5/2012 0:37
0bcff353e6b9e866f1efe52504a24478,0bcff,2cac2fd7840245f9349b3fe961f056c6,2cac2,1,1,9/5/2012 0:45
5713a696d3e3a101b6e09e5ae90f1531,5713a,d99d3a788d49ee07d43ce5a527873780,d99d3,1,1,8/5/2012 17:29
5713a696d3e3a101b6e09e5ae90f1531,5713a,d99d3a788d49ee07d43ce5a527873780,d99d3,1,1,8/5/2012 17:29
91865f06527b4d6bd9720db7f800c6f3,91865,f19aa0227f9fb3d2a44b1bd098b2eb45,f19aa,1,1,8/5/2012 16:32
91865f06527b4d6bd9720db7f800c6f3,91865,f2766a209ae9d429d95d80ded1cbfcaf,f2766,1,1,9/5/2012 15:12
e52f93381457aad627c309474d0988a9,e52f9,40d7c1462e23527fcbd31643233f2e02,40d7c,1,1,9/5/2012 5:08
e52f93381457aad627c309474d0988a9,e52f9,40d7c1462e23527fcbd31643233f2e02,40d7c,1,1,9/5/2012 5:08
e52f93381457aad627c309474d0988a9,e52f9,40d7c1462e23527fcbd31643233f2e02,40d7c,1,1,9/5/2012 5:08
b919e382eb9574fe948bddb8789138a7,b919e,e873f410c825f0a681f14aa9dcc574ff,e873f,1,1,8/5/2012 16:29
b919e382eb9574fe948bddb8789138a7,b919e,e873f410c825f0a681f14aa9dcc574ff,e873f,1,1,8/5/2012 18:31
b919e382eb9574fe948bddb8789138a7,b919e,2c051a99b3cb62773eccf1411e38f43c,2c051,1,1,8/5/2012 22:56
b919e382eb9574fe948bddb8789138a7,b919e,2c051a99b3cb62773eccf1411e38f43c,2c051,1,1,8/5/2012 22:56
f93dedb7af687f9f4a5b5660b61286e3,f93de,87c4468a91cb6179ceb319ab133e60a1,87c44,1,1,8/5/2012 21:51
f93dedb7af687f9f4a5b5660b61286e3,f93de,f2766a209ae9d429d95d80ded1cbfcaf,f2766,1,1,8/5/2012 21:51
cd1772f6990b146df6338ad1147a6b85,cd177,b5b340e70548645e6b7790008dd3c5f4,b5b34,1,1,9/5/2012 22:47
cd1772f6990b146df6338ad1147a6b85,cd177,b5b340e70548645e6b7790008dd3c5f4,b5b34,1,1,9/5/2012 22:47
cd1772f6990b146df6338ad1147a6b85,cd177,4b44f1df56d0f77c9bce7a122ed7b8ca,4b44f,1,1,10/5/2012 2:47
cd1772f6990b146df6338ad1147a6b85,cd177,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,10/5/2012 2:47
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,281a736e01372ce9f64fa7f61906d773,281a7,1,1,15/05/2012 18:21:46
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,44899c9363b6f014da4aee7961730b2f,44899,1,1,15/05/2012 18:35:08
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,15/05/2012 19:37:08
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,62456953f75a846e3309df465c4c4841,62456,1,1,15/05/2012 21:31:04
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,62456953f75a846e3309df465c4c4841,62456,1,1,15/05/2012 21:31:05
6c52cd3f41e0ad3e2bf21d9618105760,6c52c,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,16/05/2012 00:52:18
001fc92e9ec5e56f593552e5fe036994,001fc,2f4a2c42d0740db33482ba13c0014f0b,2f4a2,1,1,15/05/2012 22:55:24
001fc92e9ec5e56f593552e5fe036994,001fc,2f4a2c42d0740db33482ba13c0014f0b,2f4a2,1,1,15/05/2012 22:55:24
001fc92e9ec5e56f593552e5fe036994,001fc,2f4a2c42d0740db33482ba13c0014f0b,2f4a2,1,1,16/05/2012 00:10:29
001fc92e9ec5e56f593552e5fe036994,001fc,2f4a2c42d0740db33482ba13c0014f0b,2f4a2,1,1,16/05/2012 00:10:29
f9764a075f61501e4196f46e94acb6b9,f9764,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 00:07:29
f9764a075f61501e4196f46e94acb6b9,f9764,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 00:30:55
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,15/05/2012 18:36:11
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,15/05/2012 21:40:38
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,15/05/2012 21:43:10
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,16/05/2012 02:07:02
a004d00c270f833d5db823ab08779de8,a004d,b792cb3934752e3fae91515fc4933c70,b792c,1,1,16/05/2012 02:21:56
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,16/05/2012 05:13:09
a004d00c270f833d5db823ab08779de8,a004d,b792cb3934752e3fae91515fc4933c70,b792c,1,1,14/05/2012 22:42:08
a004d00c270f833d5db823ab08779de8,a004d,b792cb3934752e3fae91515fc4933c70,b792c,1,1,14/05/2012 23:14:33
a004d00c270f833d5db823ab08779de8,a004d,ab928e87a0d518aa4882257d3c967264,ab928,1,1,14/05/2012 23:02:10
a004d00c270f833d5db823ab08779de8,a004d,ab928e87a0d518aa4882257d3c967264,ab928,1,1,14/05/2012 23:02:11
a004d00c270f833d5db823ab08779de8,a004d,2ffe28a63eaeae6ad1468d143c6bcb92,2ffe2,1,1,15/05/2012 00:03:56
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:36:20
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:37:04
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:22:55
fe9e59a29183833d38be43aadcb74e64,fe9e5,92fcccdd24ee3c7cd3c72fb833c824b7,92fcc,1,1,13/05/2012 04:54:28
fe9e59a29183833d38be43aadcb74e64,fe9e5,995b29df24994de836131f0dee46b853,995b2,1,1,13/05/2012 04:54:57
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,13/05/2012 08:16:43
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,13/05/2012 11:16:39
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,13/05/2012 08:16:43
fe9e59a29183833d38be43aadcb74e64,fe9e5,00164bb34039df89bebde7f361424ae0,00164,1,1,13/05/2012 08:16:45
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,13/05/2012 11:16:39
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,e119032e2efc2e6aa8fa7d5981ed7517,e1190,1,1,13/05/2012 03:27:26
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,76eb7630d644992144078120a9c4e289,76eb7,1,1,13/05/2012 03:27:54
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,e119032e2efc2e6aa8fa7d5981ed7517,e1190,1,1,13/05/2012 03:36:02
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,e119032e2efc2e6aa8fa7d5981ed7517,e1190,1,1,13/05/2012 03:27:26
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,e119032e2efc2e6aa8fa7d5981ed7517,e1190,1,1,13/05/2012 03:27:26
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,76eb7630d644992144078120a9c4e289,76eb7,1,1,13/05/2012 03:27:54
898a972c0939a6952253bbe06566dacd,898a9,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,9/5/2012 22:29
cbc731a5537d0df70eb6a3c84126e168,cbc73,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,9/5/2012 23:12
cbc731a5537d0df70eb6a3c84126e168,cbc73,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,10/5/2012 4:28
a50b876c3ee0dd3ebb6f2722d398dc34,a50b8,995b29df24994de836131f0dee46b853,995b2,1,1,10/5/2012 2:20
a50b876c3ee0dd3ebb6f2722d398dc34,a50b8,995b29df24994de836131f0dee46b853,995b2,1,1,10/5/2012 14:50
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 21:54
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 21:54
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:02
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:02
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:46
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:46
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:47
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,4922798153e4ef946b8e8d20c619b744,49227,1,1,9/5/2012 22:47
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,59ec59035eb7b7a871c1e58e39309a03,59ec5,1,1,9/5/2012 23:10
b0e6ef449aaf5c0e53e1496c66d642e6,b0e6e,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,10/5/2012 15:45
575fcf7be08d744c15b2115110afe63a,575fc,9d4570e61b566d5445cd82e2959b2796,9d457,1,1,10/5/2012 4:56
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,9/5/2012 20:49
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,10/5/2012 3:21
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,dec6322bd3c1d25c45f270949f638ab4,dec63,1,1,10/5/2012 4:08
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,dec6322bd3c1d25c45f270949f638ab4,dec63,1,1,10/5/2012 4:08
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,10/5/2012 4:40
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,10/5/2012 3:38
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,10/5/2012 4:09
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,dec6322bd3c1d25c45f270949f638ab4,dec63,1,1,10/5/2012 3:43
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,dec6322bd3c1d25c45f270949f638ab4,dec63,1,1,10/5/2012 3:43
e7ebac0cc3660ee5c7465791e5832e4a,e7eba,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,10/5/2012 3:46
ee3fe46f5700840f458d1fa41ff27b02,ee3fe,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,10/5/2012 3:50
11ba5975fd396326d41c2bf84104090c,11ba5,22ef1bc7cba4e0a487945b1ee47d2087,22ef1,1,1,10/5/2012 2:52
f348d3f0bb0ac725174f6dfd81ac7be0,f348d,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,9/5/2012 22:01
f348d3f0bb0ac725174f6dfd81ac7be0,f348d,e8544d569dfb60eaba443cc6581b6829,e8544,1,1,10/5/2012 2:53
fb96530603513538f8c189f37b9ebaeb,fb965,7200273693a72d36bff1dba0e505e621,72002,1,1,9/5/2012 17:37
fe9e59a29183833d38be43aadcb74e64,fe9e5,00164bb34039df89bebde7f361424ae0,00164,1,1,8/5/2012 8:15
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,8/5/2012 11:16
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,8/5/2012 11:16
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:24:58
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:25:51
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:34:47
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:37:42
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:38:28
aa681f376533377c0eb6687bbfca91f1,aa681,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,16/05/2012 15:39:34
761aca6ba15f7f713223c7bbb45ca99e,761ac,002f419f3903864079fcf2ffe205f332,002f4,1,1,14/05/2012 23:48:41
761aca6ba15f7f713223c7bbb45ca99e,761ac,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,14/05/2012 23:48:42
761aca6ba15f7f713223c7bbb45ca99e,761ac,a6b638834ede7fbba4c578e230699b28,a6b63,1,1,15/05/2012 01:05:41
761aca6ba15f7f713223c7bbb45ca99e,761ac,a6b638834ede7fbba4c578e230699b28,a6b63,1,1,15/05/2012 01:05:41
761aca6ba15f7f713223c7bbb45ca99e,761ac,002f419f3903864079fcf2ffe205f332,002f4,1,1,14/05/2012 23:47:47
761aca6ba15f7f713223c7bbb45ca99e,761ac,bafaff0416805ab7b10375f5cdd0d9af,bafaf,1,1,14/05/2012 23:47:48
a3a59ff7406a07d9645f0ddf19440d52,a3a59,4900e32ca43ee74b91212318ffec5d55,4900e,1,1,15/05/2012 17:09:58
a3a59ff7406a07d9645f0ddf19440d52,a3a59,270e5dddf49e1790cf58ffde4d504667,270e5,1,1,15/05/2012 20:12:51
a3a59ff7406a07d9645f0ddf19440d52,a3a59,270e5dddf49e1790cf58ffde4d504667,270e5,1,1,15/05/2012 20:12:51
a3a59ff7406a07d9645f0ddf19440d52,a3a59,270e5dddf49e1790cf58ffde4d504667,270e5,1,1,15/05/2012 20:12:50
a3a59ff7406a07d9645f0ddf19440d52,a3a59,cc260adcc16885676ed7c5f161714f43,cc260,1,1,16/05/2012 13:16:01
a3a59ff7406a07d9645f0ddf19440d52,a3a59,fe2d1871dbfd95bd92e12d151fdd565f,fe2d1,1,1,16/05/2012 13:15:14
a3a59ff7406a07d9645f0ddf19440d52,a3a59,fe2d1871dbfd95bd92e12d151fdd565f,fe2d1,1,1,16/05/2012 13:15:15
a3a59ff7406a07d9645f0ddf19440d52,a3a59,cc260adcc16885676ed7c5f161714f43,cc260,1,1,16/05/2012 13:16:01
a3a59ff7406a07d9645f0ddf19440d52,a3a59,09e250342ca8038bc29b739c5253389d,09e25,1,1,16/05/2012 13:45:17
a3a59ff7406a07d9645f0ddf19440d52,a3a59,09e250342ca8038bc29b739c5253389d,09e25,1,1,16/05/2012 13:45:17
160360f5943c858e1a2703b5b68a6781,16036,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,16/05/2012 03:43:01
f908d0d5f04e69382dd1b7e67be8d716,f908d,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,15/05/2012 19:59:06
28701325ac56c1471fb7527c21401e16,28701,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,15/05/2012 20:35:12
28701325ac56c1471fb7527c21401e16,28701,e31446c14a61bc91e876d321d32f053e,e3144,1,1,15/05/2012 20:38:31
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,a801c37c1b2e2acbb816bd9362e32dfb,a801c,1,1,9/5/2012 23:10
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,9/5/2012 23:15
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,74ac7c57edd8a25396b33e4c426577db,74ac7,1,1,9/5/2012 23:15
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,9/5/2012 23:10
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,74ac7c57edd8a25396b33e4c426577db,74ac7,1,1,9/5/2012 23:10
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,d702eafa0324f874cc4fa479dfbbc409,d702e,1,1,10/5/2012 1:34
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,b792cb3934752e3fae91515fc4933c70,b792c,1,1,10/5/2012 4:45
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,74ac7c57edd8a25396b33e4c426577db,74ac7,1,1,10/5/2012 4:45
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,10/5/2012 4:45
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,74ac7c57edd8a25396b33e4c426577db,74ac7,1,1,10/5/2012 14:08
c3bba52f1fe31ed6df2cd5ff8711d779,c3bba,d5966bd4f35c0ee9864e62c0251b556a,d5966,1,1,10/5/2012 14:08
fe9e59a29183833d38be43aadcb74e64,fe9e5,59a97a0ed69dc188110563a2968cff9f,59a97,1,1,9/5/2012 20:46
fe9e59a29183833d38be43aadcb74e64,fe9e5,5d9b029d7d9c678f0f01a1b0b76f5f72,5d9b0,1,1,10/5/2012 2:17
fe9e59a29183833d38be43aadcb74e64,fe9e5,5d9b029d7d9c678f0f01a1b0b76f5f72,5d9b0,1,1,10/5/2012 2:17
fe9e59a29183833d38be43aadcb74e64,fe9e5,59a97a0ed69dc188110563a2968cff9f,59a97,1,1,10/5/2012 2:32
fe9e59a29183833d38be43aadcb74e64,fe9e5,00164bb34039df89bebde7f361424ae0,00164,1,1,10/5/2012 8:15
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,10/5/2012 8:15
fe9e59a29183833d38be43aadcb74e64,fe9e5,13c52df947fcb1c0eb9c305814d98b45,13c52,1,1,10/5/2012 8:15
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,10/5/2012 11:17
fe9e59a29183833d38be43aadcb74e64,fe9e5,59bb8aafb36fa02cceaac6471f09f4ba,59bb8,1,1,10/5/2012 11:17
28df45dcb7e2a2e9ca13857da7a4117a,28df4,e61b7deef1058f9445aadb7d79353c51,e61b7,1,1,8/5/2012 3:38
28df45dcb7e2a2e9ca13857da7a4117a,28df4,f2766a209ae9d429d95d80ded1cbfcaf,f2766,1,1,8/5/2012 3:39
28df45dcb7e2a2e9ca13857da7a4117a,28df4,a9d9e05cebc89b30351a6818dccfd7ad,a9d9e,1,1,8/5/2012 3:40
28df45dcb7e2a2e9ca13857da7a4117a,28df4,2cac2fd7840245f9349b3fe961f056c6,2cac2,1,1,8/5/2012 3:38
28df45dcb7e2a2e9ca13857da7a4117a,28df4,e61b7deef1058f9445aadb7d79353c51,e61b7,1,1,8/5/2012 3:38
28df45dcb7e2a2e9ca13857da7a4117a,28df4,a9d9e05cebc89b30351a6818dccfd7ad,a9d9e,1,1,8/5/2012 3:40
fe9e59a29183833d38be43aadcb74e64,fe9e5,59a97a0ed69dc188110563a2968cff9f,59a97,1,1,8/5/2012 15:24
fe9e59a29183833d38be43aadcb74e64,fe9e5,c93d1d1d77ad0a57e4505d3a1b5cdf0f,c93d1,1,1,8/5/2012 16:00
fbe352b729732adaafdf267c03a4b7b1,fbe35,22ecd4d1adb7aedc4fce2dc80d26b057,22ecd,1,1,8/5/2012 1:30
fbe352b729732adaafdf267c03a4b7b1,fbe35,22ecd4d1adb7aedc4fce2dc80d26b057,22ecd,1,1,8/5/2012 1:30
fc7ca13677cf337bcac1cccd5efb4acd,fc7ca,4f6345a69497a8d46c9ee9b53d250bbf,4f634,1,1,8/5/2012 2:50
